match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,3,1,2,time
1,2,blueberry,145.0,-3,1,2,blueberry_full_control
1,3,blueberry,135.0,-3,1,2,blueberry_full_control
2,1,blueberry,180.0,-1,1,1,time
2,2,blueberry,180.0,-3,1,1,time
3,1,blueberry,180.0,-2,1,1,time
3,2,blueberry,180.0,-2,1,1,time
4,1,raspberry,180.0,2,1,1,time
4,2,raspberry,180.0,2,1,1,time
5,1,raspberry,180.0,3,1,1,time
5,2,blueberry,180.0,-1,1,1,time
5,3,blueberry,180.0,-1,1,1,time
6,1,blueberry,180.0,-2,1,1,time
6,2,raspberry,180.0,3,1,1,time
6,3,blueberry,180.0,-1,1,1,time
7,1,raspberry,180.0,3,1,1,time
7,2,raspberry,180.0,3,1,2,time
8,1,raspberry,180.0,3,1,1,time
8,2,raspberry,180.0,3,1,1,time
9,1,raspberry,180.0,2,1,1,time
9,2,raspberry,180.0,3,1,2,time
10,1,raspberry,180.0,3,1,1,time
10,2,blueberry,180.0,-3,1,1,time
10,3,blueberry,180.0,-3,1,1,time
11,1,raspberry,180.0,2,1,2,time
11,2,blueberry,116.5,-3,1,2,blueberry_full_control
11,3,blueberry,125.5,-3,1,2,blueberry_full_control
12,1,raspberry,180.0,2,1,2,time
12,2,blueberry,155.5,-3,1,2,blueberry_full_control
12,3,blueberry,124.0,-3,1,2,blueberry_full_control
13,1,raspberry,180.0,3,1,1,time
13,2,raspberry,180.0,3,1,1,time
14,1,raspberry,180.0,3,1,1,time
14,2,raspberry,180.0,0,1,1,time
15,1,raspberry,180.0,2,1,1,time
15,2,raspberry,180.0,2,1,1,time
16,1,raspberry,180.0,3,1,1,time
16,2,blueberry,180.0,-3,1,1,time
16,3,raspberry,180.0,3,1,1,time
17,1,raspberry,180.0,3,1,1,time
17,2,blueberry,180.0,-1,1,1,time
17,3,raspberry,180.0,3,1,1,time
18,1,raspberry,180.0,3,1,1,time
18,2,raspberry,180.0,2,1,1,time
19,1,blueberry,175.0,-3,1,1,blueberry_full_control
19,2,blueberry,180.0,-3,1,2,time
20,1,blueberry,180.0,-1,1,1,time
20,2,blueberry,180.0,-3,1,2,time
21,1,raspberry,180.0,2,1,1,time
21,2,blueberry,145.0,-3,1,1,blueberry_full_control
21,3,raspberry,180.0,1,1,1,time
22,1,raspberry,180.0,3,1,1,time
22,2,raspberry,180.0,3,1,1,time
23,1,raspberry,180.0,3,1,1,time
23,2,raspberry,180.0,2,1,1,time
24,1,raspberry,180.0,3,1,1,time
24,2,raspberry,180.0,3,1,1,time
25,1,raspberry,180.0,1,1,2,time
25,2,blueberry,123.0,-3,1,2,blueberry_full_control
25,3,blueberry,172.0,-3,1,2,blueberry_full_control
26,1,raspberry,180.0,2,1,2,time
26,2,blueberry,142.0,-3,1,2,blueberry_full_control
26,3,blueberry,109.5,-3,1,2,blueberry_full_control
27,1,raspberry,180.0,1,1,2,time
27,2,blueberry,121.0,-3,1,3,blueberry_full_control
27,3,blueberry,172.0,-3,1,3,blueberry_full_control
28,1,raspberry,180.0,3,1,1,time
28,2,blueberry,177.5,-3,1,2,blueberry_full_control
28,3,blueberry,132.0,-3,1,2,blueberry_full_control
29,1,blueberry,170.0,-3,1,1,blueberry_full_control
29,2,raspberry,180.0,1,1,1,time
29,3,blueberry,180.0,-3,1,2,time
30,1,raspberry,180.0,3,1,1,time
30,2,blueberry,180.0,-3,1,1,time
30,3,raspberry,180.0,3,1,1,time
31,1,raspberry,180.0,3,1,1,time
31,2,blueberry,180.0,-1,1,1,time
31,3,raspberry,180.0,3,1,1,time
32,1,raspberry,180.0,2,1,1,time
32,2,raspberry,180.0,1,2,2,time
33,1,blueberry,180.0,-3,1,1,time
33,2,blueberry,180.0,-2,1,1,time
34,1,blueberry,180.0,-3,1,1,time
34,2,raspberry,180.0,2,1,1,time
34,3,blueberry,180.0,-2,1,1,time
35,1,raspberry,180.0,3,1,1,time
35,2,raspberry,180.0,3,1,1,time
36,1,raspberry,180.0,1,1,1,time
36,2,raspberry,180.0,3,1,1,time
37,1,raspberry,180.0,3,1,1,time
37,2,blueberry,180.0,-3,1,1,time
37,3,raspberry,180.0,3,1,1,time
38,1,raspberry,180.0,0,1,1,time
38,2,raspberry,180.0,3,1,1,time
39,1,raspberry,180.0,2,1,2,time
39,2,blueberry,180.0,-3,1,2,time
39,3,blueberry,180.0,-3,1,2,time
40,1,blueberry,180.0,-2,1,1,time
40,2,blueberry,180.0,-2,1,1,time
41,1,raspberry,180.0,3,1,1,time
41,2,raspberry,180.0,3,1,1,time
42,1,raspberry,180.0,2,1,1,time
42,2,raspberry,180.0,3,1,1,time
43,1,blueberry,180.0,-1,1,1,time
43,2,blueberry,180.0,-1,1,1,time
44,1,raspberry,180.0,3,1,1,time
44,2,blueberry,180.0,-3,1,1,time
44,3,raspberry,180.0,3,1,1,time
45,1,raspberry,180.0,3,1,1,time
45,2,blueberry,180.0,-1,1,1,time
45,3,raspberry,180.0,3,1,1,time
46,1,raspberry,180.0,2,1,1,time
46,2,raspberry,180.0,3,1,1,time
47,1,raspberry,180.0,3,1,1,time
47,2,blueberry,180.0,-3,1,1,time
47,3,blueberry,156.5,-3,1,2,blueberry_full_control
48,1,raspberry,180.0,1,1,2,time
48,2,blueberry,125.5,-3,1,2,blueberry_full_control
48,3,blueberry,134.0,-3,1,2,blueberry_full_control
49,1,raspberry,180.0,3,1,1,time
49,2,raspberry,180.0,1,1,1,time
50,1,raspberry,180.0,3,1,1,time
50,2,raspberry,180.0,2,1,1,time
51,1,blueberry,173.0,-3,1,1,blueberry_full_control
51,2,raspberry,180.0,3,1,1,time
51,3,raspberry,180.0,3,1,1,time
52,1,raspberry,180.0,3,1,1,time
52,2,blueberry,172.5,-3,1,1,blueberry_full_control
52,3,raspberry,180.0,0,1,1,time
53,1,blueberry,180.0,-2,1,1,time
53,2,raspberry,180.0,3,1,1,time
53,3,blueberry,180.0,-2,1,2,time
54,1,raspberry,180.0,3,1,2,time
54,2,blueberry,121.5,-3,1,2,blueberry_full_control
54,3,blueberry,180.0,-2,1,3,time
55,1,blueberry,163.0,-3,1,1,blueberry_full_control
55,2,raspberry,180.0,2,1,1,time
55,3,raspberry,180.0,3,1,1,time
56,1,blueberry,180.0,-1,1,1,time
56,2,raspberry,180.0,3,1,1,time
56,3,raspberry,180.0,2,1,1,time
57,1,blueberry,180.0,0,1,1,time
57,2,raspberry,180.0,2,1,2,time
57,3,blueberry,180.0,-3,1,3,time
58,1,blueberry,180.0,-2,1,1,time
58,2,raspberry,180.0,3,1,1,time
58,3,blueberry,180.0,-2,1,2,time
59,1,raspberry,180.0,3,1,1,time
59,2,blueberry,124.0,-3,1,1,blueberry_full_control
59,3,blueberry,171.5,-3,1,1,blueberry_full_control
60,1,raspberry,180.0,3,1,1,time
60,2,blueberry,180.0,-3,1,1,time
60,3,raspberry,180.0,3,1,1,time
