match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,180.0,-1,1,2,time
1,2,blueberry,180.0,-1,1,2,time
2,1,blueberry,180.0,-3,1,1,time
2,2,blueberry,180.0,-3,1,1,time
3,1,blueberry,174.0,-3,1,1,blueberry_full_control
3,2,raspberry,180.0,1,1,1,time
3,3,raspberry,160.0,3,1,1,raspberry_full_control
4,1,raspberry,180.0,1,1,1,time
4,2,blueberry,180.0,0,1,2,time
4,3,raspberry,161.0,3,1,2,raspberry_full_control
5,1,blueberry,180.0,0,1,1,time
5,2,raspberry,180.0,2,1,2,time
5,3,raspberry,180.0,3,1,2,time
6,1,raspberry,93.0,3,1,1,raspberry_full_control
6,2,blueberry,180.0,-2,1,1,time
6,3,raspberry,180.0,3,1,1,time
7,1,blueberry,180.0,0,1,2,time
7,2,blueberry,169.5,-3,1,2,blueberry_full_control
8,1,raspberry,180.0,3,1,2,time
8,2,blueberry,155.5,-3,1,2,blueberry_full_control
8,3,blueberry,180.0,-2,1,2,time
9,1,raspberry,180.0,3,1,1,time
9,2,blueberry,143.0,-3,1,1,blueberry_full_control
9,3,blueberry,180.0,-3,1,1,time
10,1,blueberry,180.0,-3,1,1,time
10,2,raspberry,171.5,3,1,1,raspberry_full_control
10,3,blueberry,171.5,-3,1,1,blueberry_full_control
11,1,blueberry,180.0,-3,1,1,time
11,2,raspberry,180.0,3,1,1,time
11,3,blueberry,174.5,-3,1,1,blueberry_full_control
12,1,blueberry,180.0,-1,1,1,time
12,2,blueberry,180.0,-1,1,2,time
13,1,raspberry,180.0,2,1,1,time
13,2,raspberry,162.0,3,1,1,raspberry_full_control
14,1,blueberry,180.0,-1,1,1,time
14,2,blueberry,180.0,-1,1,1,time
15,1,blueberry,180.0,-2,1,2,time
15,2,blueberry,166.5,-3,1,2,blueberry_full_control
16,1,blueberry,180.0,-3,1,1,time
16,2,blueberry,180.0,-2,1,1,time
17,1,raspberry,180.0,3,1,1,time
17,2,raspberry,163.5,3,1,1,raspberry_full_control
