match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,1,1,1,time
1,2,blueberry,174.5,-3,1,1,blueberry_full_control
1,3,raspberry,76.0,3,1,1,raspberry_full_control
2,1,blueberry,180.0,-2,1,2,time
2,2,blueberry,121.5,-3,1,2,blueberry_full_control
3,1,raspberry,180.0,2,1,2,time
3,2,blueberry,134.0,-3,1,2,blueberry_full_control
3,3,blueberry,132.0,-3,1,2,blueberry_full_control
4,1,blueberry,180.0,-3,1,1,time
4,2,blueberry,180.0,-3,1,1,time
5,1,raspberry,180.0,1,1,1,time
5,2,blueberry,175.0,-3,1,1,blueberry_full_control
5,3,raspberry,180.0,3,1,1,time
6,1,blueberry,180.0,-1,1,1,time
6,2,blueberry,180.0,-2,1,1,time
7,1,blueberry,180.0,-1,1,1,time
7,2,raspberry,180.0,2,1,1,time
7,3,raspberry,180.0,3,1,1,time
8,1,blueberry,152.0,-3,1,2,blueberry_full_control
8,2,raspberry,180.0,2,1,2,time
8,3,blueberry,127.0,-3,1,2,blueberry_full_control
9,1,raspberry,180.0,3,1,1,time
9,2,raspberry,180.0,3,1,1,time
10,1,blueberry,180.0,-3,1,1,time
10,2,blueberry,149.5,-3,1,1,blueberry_full_control
11,1,blueberry,153.0,-3,1,1,blueberry_full_control
11,2,blueberry,180.0,-2,1,3,time
12,1,raspberry,180.0,3,1,1,time
12,2,raspberry,180.0,2,1,1,time
13,1,raspberry,180.0,1,1,1,time
13,2,raspberry,180.0,3,1,1,time
14,1,raspberry,180.0,1,1,2,time
14,2,raspberry,180.0,1,1,2,time
15,1,blueberry,180.0,-3,1,1,time
15,2,blueberry,176.5,-3,1,2,blueberry_full_control
16,1,raspberry,180.0,0,1,1,time
16,2,raspberry,180.0,1,1,1,time
17,1,raspberry,180.0,3,1,1,time
17,2,blueberry,180.0,-3,1,1,time
17,3,blueberry,153.0,-3,1,1,blueberry_full_control
18,1,raspberry,180.0,2,1,1,time
18,2,blueberry,139.0,-3,1,1,blueberry_full_control
18,3,blueberry,169.5,-3,1,1,blueberry_full_control
19,1,raspberry,180.0,0,1,1,time
19,2,blueberry,180.0,-2,1,1,time
19,3,raspberry,180.0,0,1,1,time
20,1,raspberry,180.0,2,1,1,time
20,2,raspberry,180.0,1,1,1,time
21,1,raspberry,180.0,2,1,1,time
21,2,raspberry,180.0,3,1,1,time
22,1,blueberry,180.0,-3,1,1,time
22,2,blueberry,180.0,-3,1,1,time
23,1,blueberry,180.0,-3,1,1,time
23,2,raspberry,180.0,2,1,1,time
23,3,raspberry,178.0,3,1,1,raspberry_full_control
24,1,raspberry,180.0,2,1,1,time
24,2,raspberry,180.0,1,1,1,time
25,1,raspberry,180.0,3,1,1,time
25,2,raspberry,180.0,1,1,1,time
26,1,raspberry,180.0,3,1,1,time
26,2,raspberry,157.0,3,1,1,raspberry_full_control
27,1,raspberry,180.0,1,1,1,time
27,2,blueberry,180.0,-2,1,1,time
27,3,blueberry,180.0,-1,1,1,time
28,1,raspberry,180.0,1,1,1,time
28,2,blueberry,158.5,-3,1,1,blueberry_full_control
