match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
2,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
3,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
4,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
5,blueberry,1,2,3,1,1,mixed_composition,swarm_focus
6,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
7,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
8,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
9,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
10,raspberry,2,0,2,2,1,mixed_composition,mixed_composition
11,raspberry,2,0,2,2,2,mixed_composition,mixed_composition
12,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
13,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
14,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
15,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
16,raspberry,2,1,3,1,1,mixed_composition,swarm_focus
17,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
18,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
19,raspberry,2,0,2,1,2,mixed_composition,mixed_composition
20,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
21,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
22,raspberry,2,0,2,1,1,mixed_composition,swarm_focus
23,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
24,raspberry,2,0,2,2,1,mixed_composition,mixed_composition
25,raspberry,2,1,3,1,1,mixed_composition,swarm_focus
26,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
27,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
28,blueberry,1,2,3,1,1,mixed_composition,swarm_focus
29,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
30,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
31,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
32,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
33,blueberry,1,2,3,1,1,mixed_composition,swarm_focus
34,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
35,blueberry,0,2,2,2,2,mixed_composition,mixed_composition
36,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
37,blueberry,0,2,2,1,1,mixed_composition,swarm_focus
38,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
39,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
40,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
41,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
42,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
43,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
44,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
45,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
46,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
47,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
48,raspberry,2,0,2,2,1,mixed_composition,mixed_composition
49,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
50,raspberry,2,1,3,1,2,mixed_composition,mixed_composition
51,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
52,blueberry,1,2,3,1,2,mixed_composition,swarm_focus
53,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
54,raspberry,2,0,2,1,1,mixed_composition,swarm_focus
55,raspberry,2,1,3,1,1,mixed_composition,swarm_focus
56,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
57,raspberry,2,0,2,1,2,mixed_composition,mixed_composition
58,raspberry,2,1,3,2,1,mixed_composition,mixed_composition
59,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
60,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
61,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
62,blueberry,0,2,2,1,3,mixed_composition,mixed_composition
63,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
64,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
65,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
66,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
67,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
68,raspberry,2,0,2,2,1,mixed_composition,mixed_composition
69,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
70,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
71,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
72,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
73,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
74,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
75,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
76,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
77,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
78,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
79,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
80,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
