match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,1,1,1,time
1,2,blueberry,180.0,-2,1,2,time
1,3,blueberry,180.0,-2,1,2,time
2,1,blueberry,180.0,-3,1,1,time
2,2,blueberry,149.5,-3,1,1,blueberry_full_control
3,1,raspberry,180.0,1,1,2,time
3,2,raspberry,180.0,3,1,2,time
4,1,raspberry,180.0,1,1,1,time
4,2,blueberry,149.5,-3,1,1,blueberry_full_control
4,3,blueberry,135.0,-3,1,2,blueberry_full_control
5,1,raspberry,180.0,2,1,1,time
5,2,raspberry,180.0,1,1,1,time
6,1,raspberry,180.0,3,1,1,time
6,2,blueberry,180.0,0,1,1,time
6,3,blueberry,180.0,-1,1,1,time
7,1,blueberry,154.5,-3,1,1,blueberry_full_control
7,2,raspberry,180.0,2,1,1,time
7,3,raspberry,180.0,2,1,1,time
8,1,raspberry,180.0,3,1,1,time
8,2,raspberry,180.0,2,1,1,time
9,1,blueberry,150.5,-3,1,1,blueberry_full_control
9,2,blueberry,134.0,-3,1,1,blueberry_full_control
10,1,blueberry,133.5,-3,1,1,blueberry_full_control
10,2,blueberry,124.5,-3,1,1,blueberry_full_control
11,1,raspberry,180.0,2,1,1,time
11,2,blueberry,104.0,-2,1,1,raspberry_full_control
11,3,blueberry,104.0,-1,1,1,raspberry_full_control
12,1,blueberry,180.0,-1,1,1,time
12,2,blueberry,127.0,-3,1,1,blueberry_full_control
13,1,blueberry,154.5,-3,1,1,blueberry_full_control
13,2,blueberry,172.5,-3,1,1,blueberry_full_control
14,1,blueberry,180.0,-3,1,1,time
14,2,blueberry,165.0,-3,1,1,blueberry_full_control
15,1,blueberry,165.0,-3,1,2,blueberry_full_control
15,2,blueberry,180.0,-2,1,2,time
16,1,raspberry,180.0,2,1,1,time
16,2,blueberry,135.0,-3,1,1,blueberry_full_control
16,3,blueberry,180.0,-3,1,1,time
17,1,raspberry,180.0,1,1,1,time
17,2,blueberry,180.0,-2,1,1,time
