match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,180.0,-3,1,1,time
1,2,blueberry,140.5,-3,1,1,blueberry_full_control
2,1,raspberry,180.0,1,1,1,time
2,2,raspberry,180.0,3,1,1,time
3,1,raspberry,180.0,2,1,1,time
3,2,blueberry,156.0,-3,1,1,blueberry_full_control
3,3,blueberry,180.0,-3,1,1,time
4,1,blueberry,180.0,-3,1,1,time
4,2,raspberry,180.0,3,1,1,time
4,3,raspberry,180.0,2,1,1,time
5,1,raspberry,117.5,3,1,1,raspberry_full_control
5,2,raspberry,180.0,3,1,1,time
6,1,blueberry,139.0,-3,1,1,blueberry_full_control
6,2,raspberry,180.0,2,1,1,time
6,3,blueberry,180.0,-2,1,1,time
7,1,blueberry,165.0,-3,1,1,blueberry_full_control
7,2,blueberry,126.5,-3,1,1,blueberry_full_control
8,1,blueberry,180.0,-1,1,1,time
8,2,blueberry,124.5,-3,1,1,blueberry_full_control
9,1,raspberry,180.0,0,1,1,time
9,2,blueberry,180.0,-2,1,1,time
9,3,raspberry,180.0,0,1,1,time
10,1,raspberry,180.0,1,1,1,time
10,2,raspberry,180.0,3,1,1,time
11,1,blueberry,154.5,-3,1,1,blueberry_full_control
11,2,raspberry,180.0,1,1,1,time
11,3,blueberry,180.0,-3,2,1,time
12,1,raspberry,180.0,1,1,1,time
12,2,raspberry,111.5,2,1,1,raspberry_full_control
13,1,blueberry,152.5,-3,1,2,blueberry_full_control
13,2,blueberry,133.5,-3,1,2,blueberry_full_control
14,1,blueberry,180.0,-3,1,1,time
14,2,raspberry,177.5,3,1,1,raspberry_full_control
14,3,blueberry,156.5,-3,1,1,blueberry_full_control
15,1,blueberry,180.0,-3,1,1,time
15,2,blueberry,180.0,-2,1,1,time
16,1,blueberry,180.0,-2,1,1,time
16,2,blueberry,180.0,-2,1,2,time
17,1,blueberry,180.0,0,1,1,time
17,2,raspberry,180.0,2,1,1,time
17,3,raspberry,180.0,2,1,1,time
18,1,blueberry,148.0,-3,1,1,blueberry_full_control
18,2,blueberry,155.5,-3,1,1,blueberry_full_control
19,1,raspberry,180.0,1,1,1,time
19,2,raspberry,180.0,3,1,1,time
20,1,blueberry,167.5,-3,1,1,blueberry_full_control
20,2,raspberry,180.0,1,1,1,time
20,3,blueberry,180.0,-1,1,1,time
21,1,raspberry,180.0,1,1,1,time
21,2,raspberry,180.0,3,1,1,time
22,1,blueberry,180.0,-2,1,3,time
22,2,blueberry,65.0,-1,1,3,raspberry_full_control
23,1,blueberry,180.0,-2,1,1,time
23,2,raspberry,180.0,3,1,1,time
23,3,raspberry,180.0,3,1,1,time
24,1,raspberry,180.0,2,1,1,time
24,2,blueberry,134.5,-3,1,1,blueberry_full_control
24,3,raspberry,180.0,2,1,1,time
25,1,blueberry,180.0,-2,1,1,time
25,2,blueberry,165.5,-3,1,1,blueberry_full_control
26,1,blueberry,180.0,-2,1,2,time
26,2,blueberry,119.0,-3,1,2,blueberry_full_control
27,1,blueberry,180.0,-1,1,1,time
27,2,raspberry,65.0,0,1,1,raspberry_full_control
27,3,blueberry,131.5,-3,1,1,blueberry_full_control
28,1,blueberry,180.0,-3,1,1,time
28,2,raspberry,180.0,3,1,1,time
28,3,blueberry,135.0,-3,1,1,blueberry_full_control
29,1,blueberry,163.0,-3,1,1,blueberry_full_control
29,2,blueberry,155.0,-3,1,1,blueberry_full_control
30,1,blueberry,161.0,-3,1,1,blueberry_full_control
30,2,raspberry,180.0,1,1,1,time
30,3,raspberry,180.0,1,1,1,time
31,1,raspberry,117.5,2,1,1,raspberry_full_control
31,2,raspberry,180.0,1,1,1,time
32,1,raspberry,180.0,2,1,1,time
32,2,raspberry,174.5,3,1,1,raspberry_full_control
33,1,blueberry,170.0,-3,1,1,blueberry_full_control
33,2,raspberry,180.0,1,1,1,time
33,3,blueberry,174.5,-3,1,2,blueberry_full_control
34,1,blueberry,180.0,-1,1,1,time
34,2,raspberry,180.0,3,1,1,time
34,3,raspberry,164.0,3,1,1,raspberry_full_control
35,1,blueberry,180.0,-1,1,1,time
35,2,blueberry,180.0,-1,1,1,time
36,1,blueberry,180.0,-1,1,2,time
36,2,blueberry,125.0,-3,1,2,blueberry_full_control
37,1,blueberry,153.5,-3,1,1,blueberry_full_control
37,2,blueberry,153.5,-3,1,1,blueberry_full_control
38,1,raspberry,164.0,3,1,1,raspberry_full_control
38,2,blueberry,165.0,-3,1,2,blueberry_full_control
38,3,blueberry,158.0,-3,1,2,blueberry_full_control
39,1,raspberry,180.0,2,1,1,time
39,2,blueberry,180.0,-2,1,2,time
39,3,blueberry,122.0,-3,1,2,blueberry_full_control
40,1,raspberry,180.0,1,1,1,time
40,2,blueberry,157.0,-3,1,1,blueberry_full_control
40,3,blueberry,152.0,-3,1,3,blueberry_full_control
41,1,blueberry,180.0,-2,1,1,time
41,2,raspberry,180.0,2,1,1,time
41,3,raspberry,116.0,3,1,1,raspberry_full_control
42,1,blueberry,180.0,-1,1,1,time
42,2,raspberry,180.0,2,1,1,time
42,3,raspberry,68.5,1,1,1,raspberry_full_control
43,1,blueberry,180.0,-2,1,1,time
43,2,blueberry,153.5,-3,1,2,blueberry_full_control
44,1,blueberry,180.0,-2,1,1,time
44,2,raspberry,180.0,2,1,1,time
44,3,raspberry,180.0,2,1,1,time
45,1,raspberry,180.0,2,1,1,time
