match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,180.0,-2,1,1,time
1,2,raspberry,180.0,2,1,1,time
1,3,blueberry,144.0,-3,1,1,blueberry_full_control
2,1,blueberry,180.0,-2,1,1,time
2,2,blueberry,180.0,-1,1,1,time
3,1,blueberry,180.0,-3,1,1,time
3,2,blueberry,180.0,-2,1,1,time
4,1,blueberry,141.0,-3,1,1,blueberry_full_control
4,2,blueberry,180.0,-1,1,1,time
5,1,raspberry,180.0,1,1,2,time
5,2,raspberry,180.0,2,1,2,time
6,1,raspberry,180.0,2,1,1,time
6,2,blueberry,180.0,-1,1,1,time
6,3,raspberry,180.0,3,1,1,time
7,1,raspberry,180.0,2,1,2,time
7,2,blueberry,172.5,-3,1,2,blueberry_full_control
7,3,blueberry,176.5,-3,1,2,blueberry_full_control
8,1,blueberry,180.0,-3,1,1,time
8,2,blueberry,148.5,-3,1,1,blueberry_full_control
9,1,blueberry,180.0,-3,1,1,time
9,2,raspberry,180.0,3,1,1,time
9,3,raspberry,180.0,2,1,1,time
10,1,raspberry,180.0,1,1,1,time
10,2,blueberry,180.0,-2,1,1,time
10,3,raspberry,180.0,3,1,1,time
11,1,raspberry,180.0,3,1,1,time
11,2,blueberry,180.0,-3,1,1,time
11,3,blueberry,180.0,0,1,1,time
12,1,blueberry,180.0,-3,1,1,time
12,2,blueberry,127.0,-3,1,1,blueberry_full_control
13,1,raspberry,180.0,1,1,1,time
13,2,blueberry,180.0,-1,1,1,time
13,3,raspberry,180.0,0,1,1,time
14,1,raspberry,180.0,1,1,1,time
14,2,raspberry,180.0,1,1,1,time
15,1,blueberry,180.0,-2,1,2,time
15,2,blueberry,127.5,-3,1,2,blueberry_full_control
16,1,blueberry,144.0,-3,1,1,blueberry_full_control
16,2,blueberry,141.0,-3,1,1,blueberry_full_control
17,1,blueberry,180.0,-2,1,1,time
17,2,blueberry,180.0,-2,1,3,time
18,1,blueberry,180.0,-2,2,1,time
18,2,raspberry,156.0,3,2,1,raspberry_full_control
18,3,raspberry,165.5,3,2,1,raspberry_full_control
19,1,raspberry,180.0,1,1,1,time
19,2,blueberry,134.0,-3,1,1,blueberry_full_control
19,3,raspberry,180.0,1,1,1,time
20,1,blueberry,180.0,-1,1,1,time
20,2,blueberry,180.0,-3,1,1,time
21,1,raspberry,180.0,1,1,1,time
21,2,raspberry,180.0,0,1,1,time
22,1,blueberry,177.0,-3,1,1,blueberry_full_control
22,2,blueberry,180.0,-2,1,1,time
23,1,raspberry,180.0,2,1,1,time
23,2,raspberry,180.0,2,1,1,time
24,1,blueberry,153.0,-3,1,1,blueberry_full_control
24,2,raspberry,180.0,0,1,1,time
24,3,raspberry,180.0,0,1,1,time
25,1,blueberry,144.5,-3,1,2,blueberry_full_control
25,2,blueberry,180.0,-2,1,2,time
26,1,blueberry,180.0,-2,1,1,time
26,2,raspberry,180.0,2,1,2,time
26,3,blueberry,171.0,-3,1,2,blueberry_full_control
27,1,blueberry,180.0,-2,1,1,time
27,2,raspberry,180.0,0,1,1,time
27,3,blueberry,134.0,-3,1,1,blueberry_full_control
28,1,raspberry,180.0,0,1,1,time
28,2,raspberry,148.5,3,1,1,raspberry_full_control
29,1,raspberry,180.0,2,1,1,time
29,2,blueberry,180.0,-2,1,1,time
29,3,blueberry,180.0,-2,1,3,time
30,1,blueberry,180.0,-2,1,1,time
30,2,raspberry,180.0,0,1,3,time
30,3,blueberry,153.0,-3,1,3,blueberry_full_control
31,1,raspberry,180.0,1,1,1,time
31,2,blueberry,180.0,-1,1,1,time
31,3,blueberry,180.0,-1,1,1,time
32,1,raspberry,180.0,2,1,1,time
32,2,blueberry,173.0,-3,1,1,blueberry_full_control
32,3,blueberry,180.0,-3,1,1,time
33,1,raspberry,180.0,3,1,1,time
33,2,blueberry,180.0,-2,1,2,time
33,3,blueberry,154.5,-3,1,2,blueberry_full_control
34,1,blueberry,163.0,-3,1,1,blueberry_full_control
34,2,blueberry,173.0,-3,1,1,blueberry_full_control
35,1,blueberry,149.0,-3,1,1,blueberry_full_control
35,2,raspberry,180.0,3,1,1,time
35,3,blueberry,148.0,-3,1,1,blueberry_full_control
36,1,raspberry,180.0,2,1,1,time
36,2,blueberry,180.0,-3,1,2,time
36,3,blueberry,142.5,-3,1,2,blueberry_full_control
37,1,blueberry,165.5,-3,1,2,blueberry_full_control
37,2,blueberry,149.0,-3,1,2,blueberry_full_control
38,1,blueberry,180.0,-3,1,1,time
38,2,blueberry,180.0,-3,1,1,time
39,1,blueberry,180.0,-1,1,2,time
39,2,blueberry,115.5,-3,1,2,blueberry_full_control
40,1,blueberry,180.0,-1,1,1,time
40,2,blueberry,180.0,-2,1,2,time
41,1,raspberry,180.0,1,1,1,time
41,2,blueberry,153.0,-3,1,1,blueberry_full_control
41,3,blueberry,160.0,-3,1,1,blueberry_full_control
42,1,raspberry,180.0,1,1,1,time
42,2,blueberry,180.0,-1,1,1,time
42,3,blueberry,179.0,-3,1,1,blueberry_full_control
43,1,raspberry,180.0,2,1,2,time
43,2,raspberry,180.0,2,1,2,time
44,1,blueberry,180.0,-1,1,1,time
44,2,blueberry,180.0,-2,1,1,time
45,1,raspberry,180.0,0,1,1,time
45,2,raspberry,180.0,0,1,1,time
46,1,blueberry,176.5,-3,1,1,blueberry_full_control
46,2,raspberry,180.0,1,1,1,time
46,3,raspberry,180.0,1,1,1,time
47,1,blueberry,180.0,-3,1,1,time
47,2,blueberry,173.5,-3,1,2,blueberry_full_control
48,1,raspberry,180.0,0,1,1,time
48,2,blueberry,144.5,-3,1,1,blueberry_full_control
48,3,blueberry,180.0,-1,1,1,time
49,1,blueberry,180.0,-3,1,1,time
49,2,blueberry,180.0,-1,1,1,time
50,1,raspberry,180.0,1,1,1,time
50,2,blueberry,132.0,-3,1,1,blueberry_full_control
50,3,raspberry,180.0,0,1,1,time
51,1,blueberry,151.5,-3,1,2,blueberry_full_control
51,2,raspberry,180.0,2,1,2,time
51,3,raspberry,180.0,2,1,2,time
52,1,blueberry,180.0,-2,1,1,time
52,2,raspberry,180.0,1,1,1,time
52,3,blueberry,180.0,-3,1,1,time
53,1,blueberry,152.0,-3,1,1,blueberry_full_control
53,2,raspberry,180.0,2,1,1,time
53,3,raspberry,180.0,2,1,1,time
54,1,blueberry,180.0,-2,1,1,time
54,2,raspberry,180.0,3,1,1,time
54,3,blueberry,136.0,-3,1,1,blueberry_full_control
55,1,blueberry,165.0,-3,1,1,blueberry_full_control
55,2,blueberry,151.0,-3,1,1,blueberry_full_control
56,1,raspberry,180.0,2,1,1,time
56,2,blueberry,180.0,-2,1,2,time
56,3,blueberry,154.5,-3,1,2,blueberry_full_control
57,1,blueberry,180.0,-3,1,1,time
57,2,blueberry,170.5,-3,1,1,blueberry_full_control
58,1,blueberry,180.0,-3,1,1,time
58,2,blueberry,166.0,-3,1,2,blueberry_full_control
59,1,blueberry,180.0,-2,1,1,time
59,2,blueberry,123.5,-3,1,1,blueberry_full_control
60,1,raspberry,180.0,2,1,1,time
60,2,blueberry,180.0,-1,1,1,time
60,3,raspberry,180.0,3,1,2,time
61,1,blueberry,180.0,-3,1,2,time
61,2,blueberry,146.5,-3,1,3,blueberry_full_control
62,1,blueberry,180.0,-3,1,1,time
62,2,blueberry,180.0,-3,1,1,time
63,1,blueberry,180.0,-3,1,1,time
63,2,raspberry,174.5,3,1,1,raspberry_full_control
63,3,blueberry,164.0,-3,1,1,blueberry_full_control
64,1,blueberry,180.0,-2,1,1,time
64,2,blueberry,119.0,-3,1,1,blueberry_full_control
65,1,blueberry,180.0,-2,1,2,time
65,2,blueberry,142.5,-3,1,2,blueberry_full_control
66,1,blueberry,180.0,-3,1,1,time
66,2,raspberry,180.0,2,1,1,time
66,3,raspberry,180.0,1,2,1,time
67,1,blueberry,180.0,-2,1,1,time
67,2,blueberry,113.0,-3,1,1,blueberry_full_control
68,1,blueberry,180.0,-3,1,1,time
68,2,raspberry,180.0,3,1,1,time
68,3,blueberry,180.0,-2,1,3,time
69,1,blueberry,180.0,-1,1,1,time
69,2,blueberry,180.0,-1,1,1,time
70,1,blueberry,173.0,-3,1,1,blueberry_full_control
70,2,blueberry,166.0,-3,1,1,blueberry_full_control
71,1,blueberry,180.0,-2,1,1,time
71,2,raspberry,180.0,2,1,1,time
71,3,blueberry,108.0,-3,1,1,blueberry_full_control
72,1,blueberry,180.0,-3,1,1,time
72,2,blueberry,180.0,-1,1,1,time
73,1,raspberry,180.0,1,1,1,time
73,2,blueberry,180.0,-1,2,2,time
73,3,blueberry,130.0,-3,2,2,blueberry_full_control
74,1,blueberry,180.0,-1,1,1,time
74,2,raspberry,180.0,2,2,1,time
74,3,raspberry,180.0,1,2,1,time
75,1,blueberry,167.5,-3,1,1,blueberry_full_control
75,2,blueberry,180.0,-1,1,1,time
76,1,raspberry,180.0,1,1,1,time
76,2,raspberry,180.0,1,1,2,time
77,1,raspberry,180.0,1,1,1,time
77,2,raspberry,180.0,3,1,2,time
78,1,blueberry,180.0,-3,1,1,time
78,2,raspberry,180.0,1,1,2,time
78,3,blueberry,146.5,-3,1,2,blueberry_full_control
79,1,blueberry,180.0,-3,1,3,time
79,2,blueberry,119.5,-3,1,3,blueberry_full_control
80,1,blueberry,180.0,-1,1,2,time
80,2,blueberry,149.5,-3,1,2,blueberry_full_control
