match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,2,1,1,time
1,2,raspberry,180.0,3,1,1,time
2,1,raspberry,180.0,3,1,1,time
2,2,raspberry,180.0,3,1,1,time
3,1,raspberry,180.0,1,1,1,time
3,2,blueberry,93.0,-1,1,1,raspberry_full_control
3,3,blueberry,175.0,-3,1,1,blueberry_full_control
4,1,raspberry,180.0,1,1,1,time
4,2,blueberry,180.0,-2,1,1,time
4,3,raspberry,180.0,0,1,1,time
5,1,raspberry,180.0,3,1,1,time
5,2,raspberry,180.0,1,1,1,time
6,1,raspberry,180.0,3,1,1,time
6,2,raspberry,180.0,3,1,1,time
7,1,blueberry,144.0,-3,1,1,blueberry_full_control
7,2,blueberry,144.0,-3,1,1,blueberry_full_control
8,1,blueberry,180.0,-1,1,1,time
8,2,blueberry,149.0,-3,1,1,blueberry_full_control
9,1,raspberry,180.0,1,2,1,time
9,2,raspberry,180.0,3,2,1,time
10,1,blueberry,144.0,-3,1,1,blueberry_full_control
10,2,blueberry,180.0,-2,1,1,time
11,1,raspberry,180.0,3,1,1,time
11,2,raspberry,180.0,3,1,1,time
12,1,blueberry,180.0,-3,1,1,time
12,2,blueberry,180.0,-3,1,2,time
13,1,blueberry,180.0,-2,1,1,time
13,2,raspberry,180.0,1,1,1,time
13,3,raspberry,180.0,2,1,1,time
14,1,blueberry,180.0,-1,1,1,time
14,2,blueberry,144.0,-3,1,1,blueberry_full_control
15,1,blueberry,180.0,-1,1,1,time
15,2,blueberry,180.0,-2,1,2,time
16,1,blueberry,180.0,-3,1,2,time
16,2,raspberry,180.0,3,1,2,time
16,3,raspberry,180.0,3,2,2,time
17,1,blueberry,165.0,-3,1,2,blueberry_full_control
17,2,raspberry,170.0,3,1,2,raspberry_full_control
17,3,raspberry,180.0,3,1,2,time
18,1,raspberry,180.0,3,1,1,time
18,2,blueberry,180.0,-1,1,1,time
18,3,blueberry,180.0,-3,1,1,time
19,1,raspberry,180.0,1,1,1,time
19,2,raspberry,180.0,2,1,1,time
20,1,raspberry,180.0,0,1,1,time
20,2,blueberry,147.0,-3,1,1,blueberry_full_control
