match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades
1,blueberry,0,2,2,1,3
2,blueberry,1,2,3,1,1
3,raspberry,2,1,3,1,1
4,raspberry,2,0,2,1,1
5,blueberry,1,2,3,1,1
6,blueberry,0,2,2,1,2
7,blueberry,0,2,2,1,2
8,blueberry,1,2,3,1,1
9,blueberry,0,2,2,1,2
10,blueberry,0,2,2,1,1
11,blueberry,1,2,3,1,3
12,raspberry,2,1,3,1,1
13,blueberry,1,2,3,1,1
14,blueberry,0,2,2,1,2
15,blueberry,1,2,3,1,1
16,raspberry,2,1,3,1,1
17,raspberry,2,1,3,1,1
18,blueberry,1,2,3,1,1
19,blueberry,0,2,2,1,2
20,raspberry,2,1,3,1,1
21,raspberry,2,0,2,1,1
22,blueberry,0,2,2,1,1
23,blueberry,1,2,3,1,1
24,blueberry,0,2,2,1,2
25,raspberry,2,0,2,1,1
26,blueberry,1,2,3,1,2
27,blueberry,1,2,3,1,2
28,blueberry,0,2,2,1,2
29,blueberry,0,2,2,1,1
30,blueberry,0,2,2,1,1
31,blueberry,0,2,2,1,2
32,raspberry,2,0,2,1,1
33,raspberry,2,0,2,1,2
34,blueberry,0,2,2,1,2
35,blueberry,0,2,2,1,1
36,blueberry,1,2,3,1,1
37,blueberry,0,2,2,1,1
38,raspberry,2,1,3,1,1
39,blueberry,1,2,3,1,2
40,blueberry,0,2,2,1,1
41,raspberry,2,0,2,1,1
42,blueberry,1,2,3,1,2
43,blueberry,0,2,2,1,2
44,blueberry,0,2,2,1,2
45,blueberry,0,2,2,1,1
46,blueberry,0,2,2,1,2
47,blueberry,0,2,2,1,1
48,blueberry,0,2,2,1,1
49,raspberry,2,1,3,1,1
50,blueberry,0,2,2,1,1
51,blueberry,0,2,2,1,1
52,raspberry,2,1,3,1,1
53,blueberry,1,2,3,1,1
54,blueberry,1,2,3,1,1
55,blueberry,1,2,3,1,1
56,blueberry,0,2,2,1,1
57,blueberry,0,2,2,1,1
58,blueberry,1,2,3,1,1
59,blueberry,1,2,3,1,3
60,blueberry,1,2,3,1,1
